id;x;y
3925729385;4593306.666458736;5825749.2335536685
28300192;4593272.708558755;5825752.938737587
29215058;4595745.53206082;5820806.86469958
3352479278;4595749.5259306505;5820800.920744567
3352479278;4595749.5259306505;5820800.920744567
29215058;4595745.53206082;5820806.86469958
4279705567;4591504.858925847;5822318.947177701
26756812;4591411.909088769;5822318.036454684
21432801;4596173.2108384855;5821793.58497232
735967920;4596157.860130865;5821814.6334200995
3153666983;4596138.300776868;5821738.691426596
2938442114;4596166.9921477;5821782.810445038
3803606237;4593115.908922635;5821184.924071245
1342724020;4593095.894672978;5821182.551583767
28299641;4593280.840774384;5825059.28510437
29121111;4593482.8196009;5825373.280996808
29121111;4593482.8196009;5825373.280996808
28299641;4593280.840774384;5825059.28510437
3144862329;4596108.426427505;5821747.266597329
768038173;4596066.700770671;5821711.98666494
5140469217;4592499.846634224;5820093.855794767
5140469216;4592441.832938288;5820115.279857168
5140469216;4592441.832938288;5820115.279857168
26704115;4592345.838044351;5820160.93364971
26704115;4592345.838044351;5820160.93364971
26704114;4592282.766112612;5820187.762970564
26704114;4592282.766112612;5820187.762970564
20246264;4592185.43348081;5820199.957529268
5140469192;4593126.646351373;5820076.89844692
1684200006;4593091.864495355;5820095.12737229
1684200002;4593031.011891523;5820064.464737935
388575368;4593052.4448037995;5820059.250180873
26822776;4593514.116118796;5820469.41264737
26869275;4593565.7872600565;5820478.267764135
26822716;4593572.725367819;5820554.235408649
1711812123;4593580.747965479;5820628.520735201
1711812123;4593580.747965479;5820628.520735201
25664333;4593598.790447227;5820788.394142928
25664333;4593598.790447227;5820788.394142928
430206552;4593600.601159132;5820805.959987
430206552;4593600.601159132;5820805.959987
430206553;4593601.195102676;5820818.604978786
423090019;4593502.752678907;5820489.420940835
3149780232;4593296.884218494;5820458.89730843
4073228498;4595818.496051477;5822021.606207266
4163212867;4595804.1712049;5822006.955898888
682328112;4591143.625979906;5823278.37380996
623872889;4591114.2702745125;5823185.274836826
623872889;4591114.2702745125;5823185.274836826
682328112;4591143.625979906;5823278.37380996
1932251257;4590315.65452132;5823042.986806081
26726582;4590255.772940846;5823041.1266200915
26869273;4593562.867338113;5820553.713396155
26869274;4593564.728582697;5820497.804672005
26748927;4593668.168157102;5822577.345345911
29039360;4593677.68596607;5822500.623111912
29039360;4593677.68596607;5822500.623111912
26748927;4593668.168157102;5822577.345345911
27177977;4591383.891793639;5825197.138638423
1824842180;4591295.303524586;5825093.315727132
26755227;4592857.642423216;5825154.793816998
