id,acc
9821,2
67500,1
68832,6
9820,4
114152,1
114155,1
126128,1
55526,3
115480,1
68841,2
68845,1
67513,1
68844,1
42274,1
67512,1
68842,1
67517,2
97388,1
102170,1
96050,1
54203,2
30296,1
54207,1
157276,2
43597,1
68853,1
81827,2
126112,1
115459,1
96085,1
96086,3
96082,1
96084,1
30286,1
217,1
54219,1
54217,1
102152,1
43583,8
67538,1
30270,1
54222,1
116782,1
54220,2
96073,1
79502,2
116784,1
127425,1
141710,1
139400,1
141715,1
9865,1
7202,1
12396,1
98604,1
12394,5
49676,1
62658,2
35039,2
35037,1
87954,1
87952,1
12399,1
8528,1
12397,3
139377,2
138047,2
50679,1
138042,1
138043,1
126040,1
74647,3
73315,3
49668,1
74645,2
11076,2
37684,1
24387,2
35021,2
62667,1
126042,1
87949,1
59019,1
86614,1
59015,1
24385,2
86610,1
8537,1
138053,3
152340,3
9882,1
103394,1
153699,1
114049,1
74651,1
251,2
114051,1
115384,1
35017,1
86646,2
59027,1
257,1
115386,1
87978,1
59026,1
75993,2
259,1
85314,1
50694,1
102059,1
87974,1
7217,1
48322,1
50696,1
37676,2
9878,2
48320,1
11046,1
12380,2
48318,1
72007,3
11050,1
62681,1
9898,2
9896,1
74664,4
115368,1
24368,1
263,1
85308,2
138074,1
265,1
60029,1
35006,1
138072,4
87966,1
75984,1
87964,1
87962,2
12389,1
86632,1
138077,1
151032,1
138075,1
8574,1
8575,1
111831,2
73349,1
99979,1
8577,7
73343,1
98644,1
61369,1
271,1
272,1
111835,1
110503,2
123812,1
85339,2
139336,3
8569,1
142978,3
38987,1
11025,2
139334,1
86663,1
86660,1
13689,2
109524,2
138008,1
74689,4
12363,2
73358,1
98634,2
109520,3
139338,1
61376,1
74685,1
74683,1
24349,1
123801,1
86659,1
86657,2
152306,1
152305,1
87988,2
140322,2
86656,1
87986,1
140324,2
12366,1
152302,1
87984,3
152301,3
36313,1
138013,4
86651,1
140327,1
142988,1
123805,3
139340,2
109518,3
109519,2
8596,2
154980,1
14992,1
61387,2
290,1
98663,1
59066,1
97335,1
126078,2
24315,2
73361,3
111813,5
99991,1
12339,1
84029,1
140334,1
152314,1
14996,1
14995,1
14993,1
85354,1
37635,1
139354,1
38969,1
126062,1
7274,1
7276,2
99987,1
72048,1
154978,1
7271,1
59076,1
73371,1
72040,1
114084,1
152328,3
140343,1
11012,3
56807,1
11013,1
86670,1
139363,2
92465,2
108226,2
51917,1
92466,1
109557,2
20851,1
91132,1
108222,1
79490,3
20857,1
108220,1
20855,3
7281,1
63902,1
92460,1
80487,3
78167,1
122523,2
54199,1
47091,6
54197,2
44819,1
31517,1
51923,1
31512,1
134523,1
20862,1
91121,1
17213,1
20860,2
91122,1
135853,1
18540,4
32829,1
108234,2
20869,1
110536,1
123845,1
78155,2
122511,1
147831,1
47089,2
50600,1
47087,1
18546,1
80472,1
108229,2
151098,1
122515,1
18510,2
109535,1
133205,1
111853,1
159837,1
111851,1
134532,2
32819,1
91159,4
78183,1
133209,1
78187,1
78189,2
78188,1
146519,1
51942,1
66196,1
18514,1
123835,1
19846,6
159822,3
135876,1
134548,2
110511,1
32809,1
134544,2
35087,1
109540,1
78176,2
78177,1
123823,2
123820,6
78179,3
80495,4
123821,1
75900,1
75901,1
123827,2
108208,1
109539,1
48394,1
3703,4
123825,1
51958,1
108266,1
47059,1
135808,1
91171,1
35077,3
35073,1
63946,1
35071,1
140395,2
87914,1
121237,2
140398,2
123893,1
121233,1
50631,2
32806,1
32803,2
151045,1
50635,2
151043,2
50637,1
152393,1
74606,4
50639,1
152391,4
92496,1
74604,1
110577,1
152390,1
47049,1
35067,1
135819,1
135818,1
78194,2
122560,1
91163,1
135814,1
3729,1
50643,1
3724,1
23090,1
152383,2
11081,3
135822,1
36384,1
47039,1
48368,1
74610,2
11086,2
61300,1
109572,1
62634,1
35051,4
24390,1
122546,1
123876,1
2400,1
24397,2
121212,1
11088,4
152397,1
3733,1
152395,1
152394,3
11091,1
47029,2
111884,2
35044,4
35043,1
11090,3
50667,1
67663,2
67664,1
67667,3
42361,1
65003,2
41036,1
42363,3
3760,3
134477,1
158448,1
160764,1
147793,1
145133,1
28054,2
105900,2
42360,1
41020,1
42350,2
110498,1
67679,1
65017,2
41023,1
121152,1
146475,1
108192,1
2438,2
54364,1
81961,1
29399,1
105911,3
105915,1
66340,1
159773,1
3768,1
29391,1
159771,1
91311,1
65021,1
42346,1
43672,1
42342,1
146482,1
145150,1
108164,1
79672,2
77011,1
78342,1
30364,1
31695,1
29362,1
31697,1
53049,1
30360,1
3774,3
110494,1
110492,2
81990,1
30368,1
42332,1
42330,1
122460,2
108176,1
108171,1
53050,1
77001,1
121125,1
123785,1
121123,1
3787,1
110481,1
159793,1
30359,2
157132,1
116608,1
133105,1
42322,3
92662,2
42324,3
91331,1
43650,1
91334,1
18690,1
42325,1
43656,2
133109,2
53063,1
42327,1
53060,1
77036,1
28010,1
78369,1
29345,1
105944,3
134440,1
134441,1
3798,1
3799,2
31678,2
89012,1
17376,1
159729,1
29359,4
28029,1
117922,1
145100,2
30332,1
28020,1
78355,2
92649,1
133120,1
160716,2
65051,1
65053,1
90022,1
43631,1
20994,1
158423,2
43633,2
20991,1
133122,2
16013,1
134456,1
1163,1
2494,1
43635,1
43637,3
30321,1
30320,1
30323,1
30322,2
146432,1
32981,1
90019,1
133130,2
133132,3
134463,1
18678,1
30324,2
89022,2
133137,1
65077,1
65079,2
16020,2
17357,1
134465,1
121173,1
28008,1
121175,1
117900,1
146451,1
43626,1
104607,1
80694,1
32971,1
105939,1
30318,2
16028,1
89026,1
30315,1
23208,1
117976,1
96145,1
130953,1
72173,1
23204,3
23206,1
116652,1
116651,2
25860,1
36520,1
105985,1
11224,1
129959,1
85493,1
24549,1
11230,1
102013,1
23210,1
96130,2
36518,1
98790,2
55612,1
105998,2
103336,2
36513,2
85483,1
36514,1
56945,1
104669,1
13897,1
67600,1
81901,1
36508,1
55622,1
1199,2
117962,2
104634,2
128601,1
142954,1
105963,1
142955,1
104638,1
105969,1
12533,3
96159,1
96153,1
96154,1
129929,1
37828,2
142962,1
304,1
11210,1
142964,1
37823,3
140307,1
139321,3
54309,1
41082,1
140308,1
41076,1
128672,1
56971,1
115366,1
54318,2
93901,1
9937,1
103384,1
84193,2
133199,1
160796,1
160798,1
66307,1
160794,1
114019,1
24501,4
81913,3
37805,2
114020,3
114021,1
37807,2
114022,3
116685,1
114025,3
326,2
158482,2
9946,1
84198,1
37800,2
142902,1
142917,2
16097,1
7300,1
103355,3
129985,1
93930,1
25809,1
114004,1
68978,1
56990,1
130936,4
81944,3
25800,1
25802,3
28077,2
130938,2
56998,1
334,5
79633,2
127315,2
336,2
56994,1
116675,1
337,1
54339,5
42380,1
103345,1
142911,1
42382,1
56999,1
28071,1
42373,2
130944,1
30392,1
67659,1
25812,1
81940,1
54343,1
127309,1
79621,7
79620,1
103357,1
157174,1
7307,2
9966,1
93918,1
98727,1
36482,5
49798,1
9984,1
128599,2
47135,1
98724,1
47136,1
74752,1
85415,1
19904,3
139258,1
139259,2
50798,1
7318,1
139257,1
10,1
8662,1
154871,2
74768,3
154876,1
61453,1
20903,4
74761,1
361,3
59130,1
23176,1
7326,3
7328,1
62790,1
47117,1
24,2
36461,1
97414,1
27,3
36463,3
28,2
74776,1
72111,5
97410,1
74774,2
116589,1
72112,2
59146,2
372,1
141591,1
85434,1
23143,1
128568,1
36466,2
36467,1
12497,1
49770,1
31,1
72129,2
7353,1
73456,2
154897,1
61475,1
8687,1
74784,4
74783,3
97400,1
24483,1
35125,1
85423,1
127226,2
152248,1
152247,3
140269,1
152246,1
103279,3
37789,1
152240,1
96109,1
6035,1
74798,1
139205,1
97432,2
25785,1
96101,1
23127,1
25781,2
35113,2
141524,1
85455,3
85450,2
60151,1
127294,2
59,1
49744,1
97427,1
37761,1
59172,2
86778,2
141530,1
35101,2
141532,1
140203,2
141534,1
49740,1
141536,2
97457,2
154864,1
154866,1
97450,1
127286,2
127285,3
96121,1
97451,3
23107,1
25760,1
56917,1
56913,1
154853,1
97449,1
98779,1
49720,1
97443,1
25774,1
97442,1
7392,1
49729,1
7393,1
56920,3
56921,1
140222,1
142888,2
86796,1
36411,4
92587,1
135722,1
17323,3
92585,3
135720,1
43619,1
43612,1
92583,2
92581,1
66291,1
18656,1
152297,3
152296,2
122408,1
18659,1
111744,1
6089,1
110412,1
29316,5
62701,1
20988,1
91240,1
123723,3
32952,6
123721,2
31628,1
134414,1
31609,1
6094,1
3815,2
3819,1
17308,1
32946,1
17309,2
17304,2
111721,1
159703,2
134429,1
109417,1
47182,1
62733,1
20933,1
2500,1
20929,2
140279,1
152259,2
47177,2
18616,4
152257,3
18618,1
152254,2
47173,1
3834,1
18614,1
50757,3
50759,2
91286,1
74720,1
108152,1
109485,1
91282,3
109480,2
2512,1
20939,1
50761,1
50760,1
18627,2
50763,3
152266,1
