id,from,to,x,y,wkt,count
102016,26869273,26869274,4593563.797960404,5820525.75903408,"LINESTRING (4593562.867338113 5820553.713396155, 4593564.728582697 5820497.804672005)",5620
102023,26748927,29039360,4593672.927061586,5822538.984228911,"LINESTRING (4593668.168157102 5822577.345345911, 4593677.68596607 5822500.623111912)",610
102024,29039360,26748927,4593672.927061586,5822538.984228911,"LINESTRING (4593677.68596607 5822500.623111912, 4593668.168157102 5822577.345345911)",1050
1021,27177977,1824842180,4591339.597659113,5825145.227182778,"LINESTRING (4591383.891793639 5825197.138638423, 4591295.303524586 5825093.315727132)",70
10210,26755227,28252024,4592855.323030571,5825161.356085826,"LINESTRING (4592857.642423216 5825154.793816998, 4592853.003637927 5825167.918354653)",5760
10213,28252024,28252023,4592847.94071199,5825161.366377281,"LINESTRING (4592853.003637927 5825167.918354653, 4592842.877786052 5825154.814399909)",3810
1022,1824842180,27177977,4591339.597659113,5825145.227182778,"LINESTRING (4591295.303524586 5825093.315727132, 4591383.891793639 5825197.138638423)",70
102226,26871463,4363312288,4594308.575859247,5822362.291840543,"LINESTRING (4594329.678739914 5822354.744758383, 4594287.472978581 5822369.838922703)",780
102271,1866801592,26871823,4594858.719251459,5823244.245121095,"LINESTRING (4594828.8200490475 5823296.427725945, 4594888.618453871 5823192.062516245)",190
102272,26871823,1866801592,4594858.719251459,5823244.245121095,"LINESTRING (4594888.618453871 5823192.062516245, 4594828.8200490475 5823296.427725945)",70
102437,26866513,26868548,4591781.50025553,5819737.971474491,"LINESTRING (4591776.622446003 5819728.213085105, 4591786.378065056 5819747.7298638765)",12860
10244,25664274,26869277,4593658.062170271,5820319.2255313145,"LINESTRING (4593661.929124865 5820322.477266829, 4593654.195215677 5820315.9737958)",200
102442,26703058,26703055,4592199.284036286,5822001.745784495,"LINESTRING (4592189.09745884 5821979.320214079, 4592209.470613732 5822024.171354911)",3950
10245,26869277,25664274,4593658.062170271,5820319.2255313145,"LINESTRING (4593654.195215677 5820315.9737958, 4593661.929124865 5820322.477266829)",520
10248,26746043,26869276,4593604.878635129,5820388.10711417,"LINESTRING (4593608.385851274 5820390.990186429, 4593601.371418985 5820385.224041912)",190
10249,26869276,26746043,4593604.878635129,5820388.10711417,"LINESTRING (4593601.371418985 5820385.224041912, 4593608.385851274 5820390.990186429)",320
102692,315499144,26682554,4589268.334081629,5822715.413928546,"LINESTRING (4589236.040330464 5822702.6876522675, 4589300.627832794 5822728.140204825)",3320
102693,26682554,315499144,4589268.334081629,5822715.413928546,"LINESTRING (4589300.627832794 5822728.140204825, 4589236.040330464 5822702.6876522675)",4110
102775,28246383,28246381,4589492.063199699,5822300.87392468,"LINESTRING (4589396.116472747 5822325.101227171, 4589588.009926651 5822276.646622188)",200
102776,28246381,28246383,4589492.063199699,5822300.87392468,"LINESTRING (4589588.009926651 5822276.646622188, 4589396.116472747 5822325.101227171)",350
102797,307389137,1846908923,4590661.256993264,5822915.387138971,"LINESTRING (4590678.087075072 5823052.284713704, 4590644.426911456 5822778.489564238)",170
102798,1846908923,307389137,4590661.256993264,5822915.387138971,"LINESTRING (4590644.426911456 5822778.489564238, 4590678.087075072 5823052.284713704)",90
102799,1846908923,26756999,4590630.984548285,5822676.705755309,"LINESTRING (4590644.426911456 5822778.489564238, 4590617.542185114 5822574.92194638)",160
102800,26756999,1846908923,4590630.984548285,5822676.705755309,"LINESTRING (4590617.542185114 5822574.92194638, 4590644.426911456 5822778.489564238)",80
102801,26756999,26757044,4590604.580748357,5822476.798068631,"LINESTRING (4590617.542185114 5822574.92194638, 4590591.619311601 5822378.6741908835)",200
102802,26757044,26756999,4590604.580748357,5822476.798068631,"LINESTRING (4590591.619311601 5822378.6741908835, 4590617.542185114 5822574.92194638)",120
102803,26984409,380847410,4590392.7780894,5822308.507750092,"LINESTRING (4590403.543470523 5822391.241052466, 4590382.0127082765 5822225.774447719)",3570
102804,380847410,26984409,4590392.7780894,5822308.507750092,"LINESTRING (4590382.0127082765 5822225.774447719, 4590403.543470523 5822391.241052466)",3170
102805,380847410,1929624605,4590369.241588527,5822124.922315706,"LINESTRING (4590382.0127082765 5822225.774447719, 4590356.470468779 5822024.070183693)",3590
102806,1929624605,380847410,4590369.241588527,5822124.922315706,"LINESTRING (4590356.470468779 5822024.070183693, 4590382.0127082765 5822225.774447719)",3400
102809,26984411,26784368,4590729.2213604115,5822278.482094338,"LINESTRING (4590738.144127123 5822348.41515303, 4590720.298593701 5822208.549035645)",1220
102810,26784368,26984411,4590729.2213604115,5822278.482094338,"LINESTRING (4590720.298593701 5822208.549035645, 4590738.144127123 5822348.41515303)",960
102811,26784368,26784370,4590711.84442329,5822168.661178395,"LINESTRING (4590720.298593701 5822208.549035645, 4590703.390252881 5822128.773321146)",1440
102812,26784370,26784368,4590711.84442329,5822168.661178395,"LINESTRING (4590703.390252881 5822128.773321146, 4590720.298593701 5822208.549035645)",570
102819,26726576,26726586,4590798.888564671,5822910.349691664,"LINESTRING (4590819.832608928 5823060.208002607, 4590777.944520415 5822760.49138072)",310
102820,26726586,26726576,4590798.888564671,5822910.349691664,"LINESTRING (4590777.944520415 5822760.49138072, 4590819.832608928 5823060.208002607)",110
102821,26726586,1960361109,4590768.491739461,5822658.413689023,"LINESTRING (4590777.944520415 5822760.49138072, 4590759.0389585085 5822556.335997326)",440
102822,1960361109,26726586,4590768.491739461,5822658.413689023,"LINESTRING (4590759.0389585085 5822556.335997326, 4590777.944520415 5822760.49138072)",230
102825,26882221,26682566,4589473.398894463,5822668.369417957,"LINESTRING (4589458.960980418 5822779.134867735, 4589487.836808507 5822557.603968179)",250
102826,26682566,26882221,4589473.398894463,5822668.369417957,"LINESTRING (4589487.836808507 5822557.603968179, 4589458.960980418 5822779.134867735)",110
102830,26882222,26745921,4589632.007804638,5822672.770296674,"LINESTRING (4589614.309418038 5822829.4791048635, 4589649.706191236 5822516.061488484)",1350
102831,26745921,26882222,4589632.007804638,5822672.770296674,"LINESTRING (4589649.706191236 5822516.061488484, 4589614.309418038 5822829.4791048635)",1390
103031,26726601,26756809,4590992.837488794,5822472.470447313,"LINESTRING (4590994.488703189 5822525.405925253, 4590991.186274398 5822419.534969372)",240
103032,26756809,26726601,4590992.837488794,5822472.470447313,"LINESTRING (4590991.186274398 5822419.534969372, 4590994.488703189 5822525.405925253)",290
103033,26756809,26732947,4590990.205049237,5822372.923118647,"LINESTRING (4590991.186274398 5822419.534969372, 4590989.223824077 5822326.311267922)",420
103034,26732947,26756809,4590990.205049237,5822372.923118647,"LINESTRING (4590989.223824077 5822326.311267922, 4590991.186274398 5822419.534969372)",400
103041,26756810,26756809,4590946.152041195,5822425.466868775,"LINESTRING (4590901.117807991 5822431.398768178, 4590991.186274398 5822419.534969372)",200
103042,26756809,26756810,4590946.152041195,5822425.466868775,"LINESTRING (4590991.186274398 5822419.534969372, 4590901.117807991 5822431.398768178)",130
